author,reputation,engagement,accuracy,debate_quality
AlemzadehC,14.719373088943737,186.96571428571423,0.8400000000000001,4.471539027692539
KevinSvenson_,9.662982708531644,168.95428571428573,0.8,1.1637212945016202
invest_answers,13.549676206283705,263.62857142857143,0.8,7.542306146680807
Mrcapitalv,13.98859873368693,54.942852263946754,1.0,5.0855709854107936
BitPaine,13.957932042817449,141.34285714269538,0.8,6.74650595165202
AxisAlive,13.468221413913405,47.142857142857146,1,5.912910824419029
tonythebullBTC,9.332292744828907,35.399999999997284,0.8,1.8917436350196921
OrdiswapLabs,14.479571943678271,22.321444789488393,0.6195712000000001,1.2657615128224227
Stamp_Seed,8.539209003179247,41.714285714285715,1,0.5036285950138053
TheBTCTherapist,12.618348958919592,4.117829154601085,0.34597585467343894,0.6467146533245888
Nyteowl_YT,13.594810431768249,47.857142857142854,1,6.1616691617532044
CoinstoreExc,15.911217182056916,229.34285708464364,1.0,17.890680372804844
charliebilello,12.33198114080486,294.14285714285717,1,4.164263051429627
6thmanTO,13.669432870097292,40.0,1,6.316791431397944
BritishHodl,7.812012726885029,83.7245711286408,0.0,3.695503981370363
TO,14.189777037194178,4.632311106013354,0.42816667648,1.2386696242565245
dotkrueger,13.386157611732749,37.96230208271675,0.35353599999999996,2.283326497143337
DrProfitCrypto,14.294222111010075,70.08617874285716,0.3022848,2.1664336567831173
HoneyBadgersBtc,4.176181720710609,66.28571428571429,0,1.748442365934044
sanjfomojis,5.790749684520705,38.0,0,3.3065533243215794
ord_io,8.831579717791168,45.68571428528694,0.0,5.898925751465509
ronin21btc,12.871561184332402,53.57473520705284,0.35353599999999996,1.7613334352483434
MuroCrypto,8.452007851652528,119.0,0,7.767025852222308
Ninjascalp,15.939299998321488,17.550959675262607,0.561439232,2.5511328894188154
ruidasilva,7.456816438973355,52.142857142857146,0,5.521812172782942
Bonklana,2.075382562405248,445.85714285714283,0,0.0
DegenerateNews,8.584623226335017,237.91428571428574,0.0,5.691961594836354
TycoonPal,8.367620019064583,57.714285714285715,0,7.279040394567401
versatile444,14.678906671589873,57.0,1,8.270621395322722
lav_labs,14.00988040913252,23.142857142857142,1,6.473352218804022
lemonschweppes1,13.631637476216746,19.742857142857144,1.0,4.31247409339814
VivalaCoinBTC,9.074931959802134,22.142857142857142,1,0.8087822660630446
misterrcrypto,11.400216313207764,144.17714264502038,0.6400000000000001,5.786775021101513
Runestakecom,13.587884759267041,3675.714285714286,1,5.6354785493400446
SmarDex,9.667090099816528,46.57142857142857,1,1.2866025937927796
lupobianco38,13.759791198017508,376.2857142857143,1,5.9466798644045245
dogwifcrocs,8.085906087293173,235.14285714285714,1,0.0
TropadaDrih,10.163548488879849,183.28571428571428,1,1.7098406484032966
dazza9x,14.687903258797292,67.28571428571429,1,8.302840533276143
CoconutBGaming,8.999489455861172,81.28571428571429,0,9.614176917225915
rektbuildr,8.923595710463271,94.14285714285714,0,9.231664635180088
0xTDG,14.793644070040017,133.28571428571428,1,8.707019445260594
tokenmetricsinc,13.327114522150664,49.0,1,5.204447159683983
Whale_Guru,8.08590608038699,94.85714285714286,1,0.0
elbitcoinamb,10.452908088198656,72.0,1,1.9641855032959654
CajunCanadian_,7.742021984139627,51.285714285714285,0,5.7527015497659955
TylerSCrypto,8.645719647352628,99.39999999992304,0.0,6.09355866275311
thegaboeth,7.884347408511295,135.42857142857142,0,6.013649091365343
MandelaBTC,2.749270199720034,33.285714285714285,0,0.5036285950138053
zeruohedge,9.228002319621865,166.14285714285714,0,10.439629310433522
fencer_gg,6.2505481775659515,84.7978797787429,0.31990783999999994,0.22554146754020377
theBTCco,7.848718315462716,104.28571428571429,0,5.9466798644045245
NodeFrogs,6.273405812447612,53.0,0,3.7063059549718154
TimboNotes,8.915086500391658,131.17142857142858,0.0,6.999135814565329
TheOG_General,5.9639699285085275,34.142857142857146,0,3.3665682643850516
businessmaneth,9.52856770431734,25.045619071939857,0.19999999999999996,3.7942241344080827
CryptoElPres,9.263051158678095,177.68568719605446,0.0,6.806999176840845
merts_eth,6.532188333195124,51.514284326391305,0.0,3.268399880378465
BTC_for_Freedom,6.128545894003559,112.17714285714285,0.19999999999999996,0.21941849318394357
BTCbabbies,3.130248772233824,38.42857142857143,0,0.8087822660630446
olvelez007,9.888084043931933,37.20571428571422,0.0,3.869817181432776
btcNLNico,7.184625016462729,193.28571428571428,0,4.762448248950873
davincithreads,8.301539902082661,41.714285714285715,0,6.70631711314743
njelsalvador,3.4732732834929427,55.714285714285715,0,1.0589445585633759
mattkratter,8.996174698693292,72.0,0,8.760516952130844
Tele_Swap,9.112913611789233,579.3999981531141,0.19999999999999996,7.224759356230525
MEonBTC,10.73067837927616,4.510189279316282,0.41466101759999985,0.47979032002263244
TomCrownCrypto,7.664244384311922,30.713910741525808,0.0,3.907385985270573
